"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
201212;10010101;10;1;1;1;2;1186;574;612;21;101;170;47;111;520;157;56;3;21;247;166;44;640;6;6;216;27;487;229;258;15;31;27;13;48;298;39;16;0;5560;2782;2778;54;366;465;124;513;2708;832;407;91
201212;10010102;10;1;1;2;2;3432;1693;1739;58;352;480;136;281;1496;332;211;86;65;375;194;86;2194;47;29;647;54;1122;509;613;12;65;79;21;83;747;84;28;3;17233;8678;8555;192;1078;1628;467;1412;8089;2389;1535;443
201212;10010203;10;1;2;3;2;393;223;170;12;40;30;9;69;217;6;10;0;6;34;13;100;41;0;26;189;3;344;195;149;0;28;27;9;69;198;3;10;0;656;434;222;15;40;36;12;85;380;63;25;0
201212;10010204;10;1;2;4;2;1791;867;924;26;151;258;77;179;748;190;128;34;15;300;197;95;1080;30;18;219;49;496;244;252;3;16;54;18;46;311;33;12;3;10065;4986;5079;103;597;847;210;755;4220;1962;1068;303
201212;10010205;10;1;2;5;2;817;391;426;16;68;114;24;92;369;75;44;15;12;164;93;15;490;31;19;93;5;292;145;147;0;19;25;9;22;189;22;3;3;7840;3967;3873;107;410;581;118;776;3631;1303;747;167
201212;10010206;10;1;2;6;2;2421;1216;1205;35;203;297;94;238;1114;251;138;51;78;613;198;68;1263;48;42;328;59;947;514;433;7;33;60;24;123;613;69;15;3;16322;8044;8278;176;698;955;275;1205;6322;3370;2631;690
201212;10010207;10;1;2;7;2;1882;901;981;34;208;262;71;150;831;201;80;45;78;255;100;62;978;56;41;427;63;711;347;364;7;24;56;30;63;461;58;6;6;10498;5098;5400;83;545;760;216;738;3803;2302;1624;427
201212;10010308;10;1;3;8;2;237;139;98;0;15;18;15;25;121;25;18;0;16;77;30;15;53;0;0;83;9;127;78;49;0;0;3;12;15;82;9;6;0;1693;889;804;9;48;77;34;107;716;288;340;74
201212;10010309;10;1;3;9;2;2465;1154;1311;39;218;343;107;222;1118;214;149;55;30;264;89;127;1549;76;71;325;53;833;394;439;6;25;72;42;97;517;55;19;0;14340;6876;7464;112;581;868;221;1023;5290;2600;2873;772
201212;10010310;10;1;3;10;2;2466;1220;1246;43;226;318;70;220;1076;291;183;39;73;368;105;58;1380;49;35;491;85;784;388;396;3;56;50;24;46;515;74;16;0;17293;8493;8800;152;757;1119;285;1104;6367;3765;3224;520
201212;10010311;10;1;3;11;2;386;180;206;0;36;78;12;31;162;30;28;9;6;55;28;0;233;12;19;52;15;80;36;44;0;0;6;3;6;53;6;6;0;2957;1308;1649;31;173;199;43;167;1256;326;454;308
201212;10020412;10;2;4;12;2;1194;570;624;29;135;186;54;106;535;80;56;13;27;161;86;59;709;19;19;207;20;424;184;240;13;33;28;12;30;265;31;9;3;6333;3032;3301;97;561;688;199;740;2900;568;455;125
201212;10020413;10;2;4;13;2;1419;703;716;25;151;131;22;158;687;121;87;37;41;313;153;22;788;47;54;173;22;536;277;259;9;12;28;7;89;364;18;9;0;14708;7087;7621;162;850;842;252;1662;7194;1841;1431;474
201212;10020414;10;2;4;14;2;624;295;329;3;56;97;31;55;298;53;19;12;7;57;44;22;484;15;3;31;12;130;69;61;0;6;6;0;3;108;7;0;0;1639;802;837;12;99;156;54;166;785;150;143;74
201212;10020415;10;2;4;15;2;604;327;277;6;40;90;16;64;298;40;41;9;44;239;84;25;202;18;28;88;4;323;172;151;3;16;21;3;39;217;21;3;0;5205;2620;2585;62;314;499;106;619;2526;564;401;114
201212;10020416;10;2;4;16;2;822;424;398;21;85;96;16;88;401;76;30;9;44;252;119;12;383;12;37;104;22;403;227;176;6;16;27;7;44;264;27;9;3;5268;2648;2620;97;412;413;104;746;2663;463;299;71
201212;10020517;10;2;5;17;2;563;263;300;6;45;57;15;37;269;66;46;22;36;168;78;12;224;12;13;118;16;184;74;110;0;3;3;6;19;126;24;3;0;8781;4186;4595;81;389;444;132;863;4372;1117;1129;254
201212;10020518;10;2;5;18;2;402;204;198;12;39;58;9;43;188;25;25;3;12;120;63;16;158;24;9;60;15;157;84;73;3;9;18;0;21;90;16;0;0;4975;2475;2500;70;331;453;140;588;2474;419;373;127
201212;10020519;10;2;5;19;2;491;222;269;16;62;60;21;50;207;41;31;3;25;139;69;33;205;21;31;62;0;226;100;126;3;18;22;15;18;135;15;0;0;4923;2468;2455;76;398;461;98;617;2293;502;379;99
201212;10020620;10;2;6;20;2;437;201;236;10;30;34;3;40;198;67;49;6;15;98;50;6;237;18;0;72;6;167;86;81;3;3;6;3;18;116;15;3;0;3301;1636;1665;42;147;121;42;351;1743;502;285;68
201212;10020621;10;2;6;21;2;551;278;273;3;33;77;31;69;261;42;35;0;17;144;67;13;275;24;12;64;19;237;125;112;0;15;18;3;36;150;9;6;0;5827;2926;2901;71;345;479;133;875;2854;524;443;103
201212;10020622;10;2;6;22;2;893;423;470;18;75;135;28;80;377;79;54;47;40;280;117;70;399;18;18;99;9;341;169;172;9;9;37;6;33;213;18;9;7;8728;4002;4726;85;376;569;123;689;3479;1524;1345;538
201212;10020623;10;2;6;23;2;538;269;269;3;41;66;15;24;247;71;59;12;7;93;60;12;317;7;15;88;6;149;58;91;0;6;10;6;6;97;15;9;0;6612;3119;3493;47;258;368;114;461;2928;987;1104;345
201212;10030724;10;3;7;24;2;1092;556;536;6;38;64;19;346;505;34;64;16;250;478;88;12;229;24;59;249;41;728;378;350;0;6;7;3;325;363;12;9;3;7832;3836;3996;29;257;401;111;767;3212;1316;1390;349
201212;10030725;10;3;7;25;2;673;376;297;0;24;68;48;93;290;46;71;33;39;137;42;10;301;36;42;135;12;298;200;98;0;6;15;33;65;149;12;12;6;5863;2994;2869;43;175;326;131;453;2432;1074;916;313
201212;10030726;10;3;7;26;2;171;78;93;9;3;32;7;18;84;6;9;3;3;55;22;17;57;6;6;15;15;59;25;34;3;0;10;0;6;37;3;0;0;2674;1287;1387;33;89;184;56;117;1154;372;441;228
201212;10030727;10;3;7;27;2;648;330;318;6;48;90;36;36;303;72;51;6;46;190;61;21;225;12;13;145;42;197;112;85;0;0;6;3;15;152;9;12;0;8965;4469;4496;61;374;644;227;520;4019;1468;1348;304
201212;10040828;10;4;8;28;2;373;181;192;0;40;39;21;21;156;44;31;21;43;124;32;0;182;21;0;31;15;125;66;59;0;0;9;3;3;81;19;3;7;7685;3802;3883;45;338;558;194;545;3621;1188;983;213
201212;10040829;10;4;8;29;2;185;81;104;6;18;26;9;9;81;12;21;3;18;79;25;3;36;9;10;45;3;77;34;43;0;0;0;0;9;56;9;3;0;3582;1759;1823;31;131;267;99;215;1589;522;594;134
201212;10040830;10;4;8;30;2;387;188;199;6;43;48;14;30;140;54;40;12;15;113;39;15;133;3;9;86;28;112;60;52;0;0;3;0;21;70;12;3;3;7444;3713;3731;46;284;550;173;436;3181;1303;1228;243
201212;10040931;10;4;9;31;2;473;237;236;4;39;64;22;30;216;43;43;12;73;162;37;12;127;21;20;82;49;167;80;87;0;3;3;3;18;113;12;12;3;8925;4467;4458;50;294;602;230;586;4127;1416;1300;320
201212;10040932;10;4;9;32;2;202;91;111;9;6;40;6;9;93;27;12;0;22;77;34;0;78;6;6;28;7;70;38;32;0;0;9;0;6;47;8;0;0;3869;1936;1933;27;145;263;83;240;1737;611;641;122
201212;10040933;10;4;9;33;2;610;268;342;7;46;66;21;38;272;75;73;12;63;231;74;13;200;15;28;68;55;186;69;117;0;3;3;6;23;136;12;0;3;14283;7114;7169;84;534;1015;367;863;6325;2285;2357;453
201212;1011101;1;1;11;1;1;1439;755;684;15;64;67;13;246;720;177;110;27;261;434;81;69;249;62;152;394;79;926;505;421;3;19;16;4;211;515;99;44;15;2930;1493;1437;15;82;87;19;355;1291;450;500;131
201212;1011102;1;1;11;2;1;50;28;22;0;3;4;3;6;34;0;0;0;3;24;15;0;0;3;7;16;0;33;15;18;0;0;0;0;6;27;0;0;0;180;99;81;0;6;7;3;12;100;27;22;3
201212;1011103;1;1;11;3;1;2606;1383;1223;33;138;304;86;273;1295;237;199;41;366;678;194;192;403;312;273;602;146;1507;816;691;6;42;87;34;195;880;129;112;22;4818;2619;2199;40;173;353;95;451;2340;648;573;145
201212;1011104;1;1;11;4;1;2493;1292;1201;39;171;277;85;363;1273;168;91;26;260;545;164;86;251;461;417;520;213;1343;696;647;3;17;42;24;244;868;62;61;22;3913;2086;1827;49;200;324;97;593;2095;307;204;44
201212;1011105;1;1;11;5;1;501;276;225;3;21;40;10;30;313;54;21;9;125;168;27;3;103;18;44;147;18;337;181;156;0;9;10;3;30;235;35;9;6;996;576;420;3;31;55;20;52;566;134;116;19
201212;1011201;1;1;12;1;1;963;508;455;15;50;110;44;126;447;109;56;6;125;267;24;10;264;34;120;230;38;607;334;273;3;15;41;13;95;339;72;26;3;2078;1084;994;15;65;138;56;220;951;299;271;63
201212;1011202;1;1;12;2;1;168;85;83;4;6;19;0;9;106;15;6;3;55;67;9;6;15;3;0;77;0;118;66;52;0;3;6;0;6;82;12;6;3;472;256;216;4;12;26;6;30;273;46;63;12
201212;1011203;1;1;12;3;1;375;193;182;6;18;24;15;32;214;27;33;6;70;146;30;6;120;4;10;80;9;267;136;131;3;9;3;6;32;169;18;24;3;854;446;408;6;24;36;24;53;460;106;121;24
201212;1011204;1;1;12;4;1;2055;1003;1052;16;130;168;38;176;1151;198;145;33;324;766;104;62;447;62;188;441;89;1216;594;622;7;24;38;19;96;831;116;64;21;5822;2878;2944;26;181;254;77;414;2647;833;1117;273
201212;1011301;1;1;13;1;1;1577;805;772;28;103;90;21;147;1025;98;52;13;516;732;93;49;206;46;55;428;61;1097;549;548;7;34;21;0;109;817;74;28;7;4902;2555;2347;75;247;199;50;294;3097;485;385;70
201212;1011302;1;1;13;2;1;3791;1857;1934;47;270;365;70;365;2439;154;75;6;1355;1753;165;120;294;160;97;1272;95;2532;1227;1305;6;44;74;24;303;1918;106;54;3;12078;6188;5890;103;648;902;197;846;7656;897;677;152
201212;1011303;1;1;13;3;1;2664;1360;1304;40;167;184;37;332;1624;169;86;25;668;988;125;95;324;74;119;999;65;1767;899;868;3;28;51;18;265;1239;108;42;13;8141;4201;3940;77;285;291;87;702;4334;804;1201;360
201212;1011304;1;1;13;4;1;2410;1163;1247;37;186;309;88;266;1185;132;153;54;264;538;80;148;302;224;161;928;109;1397;668;729;12;33;97;35;189;883;75;52;21;8279;3851;4428;53;286;442;137;586;3002;877;2049;847
201212;1011305;1;1;13;5;1;1666;878;788;22;114;163;46;129;974;85;109;24;269;531;85;72;230;169;126;487;51;1006;555;451;0;18;52;21;93;728;41;47;6;6363;3153;3210;40;188;267;74;462;2735;656;1456;485
201212;1011306;1;1;13;6;1;2430;1226;1204;42;178;251;45;272;1393;146;88;15;356;714;187;107;218;469;132;605;185;1448;752;696;6;21;50;18;219;993;97;38;6;7857;3997;3860;84;302;358;99;575;4094;860;1223;262
201212;1011401;1;1;14;1;1;4162;2061;2101;63;287;368;45;366;2799;127;91;16;1682;2238;246;95;311;103;79;1244;92;2789;1389;1400;12;45;80;27;306;2160;92;57;10;14026;7156;6870;196;838;885;172;893;9313;886;647;196
201212;1011402;1;1;14;2;1;3537;1774;1763;63;321;205;41;257;2470;119;58;3;1469;1828;159;83;268;60;79;1130;89;2484;1248;1236;15;108;46;13;216;1961;92;33;0;12025;6078;5947;190;859;647;112;634;8339;576;502;166
201212;1022101;1;2;21;1;1;1442;821;621;9;95;133;48;151;817;104;82;3;142;537;272;120;80;145;281;194;85;959;563;396;3;31;56;29;96;611;74;56;3;3142;1767;1375;18;113;173;57;425;1839;245;226;46
201212;1022102;1;2;21;2;1;3191;1701;1490;43;211;334;84;356;1677;276;197;13;378;925;352;337;150;627;383;577;192;2118;1139;979;24;63;112;36;255;1258;206;157;7;5849;3164;2685;56;278;406;112;800;3132;565;404;96
201212;1022103;1;2;21;3;1;138;74;64;0;16;19;3;15;67;12;6;0;6;19;6;0;3;39;17;53;7;94;52;42;0;3;7;3;9;57;12;3;0;220;120;100;3;19;34;3;21;103;31;6;0
201212;1022104;1;2;21;4;1;7668;3970;3698;83;551;705;262;776;4009;677;535;70;969;2112;745;632;461;1625;829;1459;550;4554;2368;2186;13;85;132;105;485;2889;437;371;37;17089;8892;8197;155;814;974;372;1941;8986;1928;1583;336
201212;1022105;1;2;21;5;1;2649;1413;1236;32;168;328;122;296;1325;217;146;15;274;667;225;220;176;550;450;401;185;1510;787;723;0;22;60;48;181;931;141;115;12;4887;2577;2310;50;203;402;140;601;2516;497;394;84
201212;1022106;1;2;21;6;1;3405;1719;1686;36;184;373;121;315;1747;354;236;39;552;1059;303;215;323;477;303;760;268;1773;895;878;9;24;60;33;178;1133;199;116;21;10959;5350;5609;95;451;690;264;863;5463;1431;1325;377
201212;1022201;1;2;22;1;1;4524;2322;2202;69;276;498;176;535;2396;329;239;6;617;1181;364;301;247;1183;394;852;366;2608;1348;1260;9;53;127;55;329;1646;199;187;3;10000;5286;4714;105;414;657;231;1325;5542;858;732;136
201212;1022202;1;2;22;2;1;929;444;485;15;93;149;47;114;389;63;59;0;58;111;28;19;46;402;118;125;108;459;213;246;6;9;25;13;58;256;39;53;0;1492;722;770;18;112;168;59;195;674;114;143;9
201212;1022203;1;2;22;3;1;3850;1912;1938;54;315;542;153;426;1670;321;323;46;304;671;243;416;259;1157;548;435;364;2223;1085;1138;12;81;132;59;292;1143;225;254;25;6751;3424;3327;83;396;607;179;813;3028;673;756;216
201212;1022204;1;2;22;4;1;1982;1020;962;21;123;179;48;206;1084;186;126;9;334;691;204;73;193;323;163;423;116;1183;624;559;3;28;42;22;145;738;109;93;3;5677;2829;2848;47;229;338;90;480;2842;687;774;190
201212;1022205;1;2;22;5;1;1713;849;864;24;126;259;72;149;760;165;133;25;111;370;180;135;271;319;251;232;135;881;443;438;3;39;71;19;85;485;87;85;7;3063;1538;1525;33;159;300;87;280;1276;385;427;116
201212;1022206;1;2;22;6;1;1124;588;536;28;97;117;27;103;614;71;61;6;205;417;132;40;115;167;75;214;96;568;311;257;3;12;12;6;65;394;34;39;3;3016;1590;1426;40;141;205;43;244;1609;323;329;82
