"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
201012;3040512;3;4;5;12;2;875;450;425;12;79;157;30;54;411;62;57;13;148;338;113;67;114;120;34;116;86;333;167;166;0;6;18;6;30;236;19;18;0;9302;4508;4794;95;396;768;186;593;4170;1056;1724;314
201012;3040513;3;4;5;13;2;346;159;187;7;36;67;12;24;146;21;24;9;61;129;35;18;55;30;9;63;42;143;64;79;0;3;16;6;6;91;6;12;3;3158;1495;1663;28;181;336;84;199;1392;319;410;209
201012;3040614;3;4;6;14;2;2506;1289;1217;57;322;338;78;117;1222;150;175;47;527;1147;307;97;362;61;122;587;130;1066;558;508;3;33;30;9;87;795;69;40;0;31699;14787;16912;380;1978;2395;539;2031;15078;2614;4986;1698
201012;3040818;3;4;8;18;2;2443;1243;1200;46;194;256;66;199;1328;164;151;39;512;1080;290;90;370;107;141;553;102;1282;662;620;6;9;43;25;131;940;82;39;7;31314;14808;16506;349;1497;1850;466;2299;15897;2885;4621;1450
201012;3050919;3;5;9;19;2;210;96;114;0;15;25;3;14;108;12;27;6;36;96;33;9;46;6;3;44;6;88;45;43;0;0;3;0;10;60;9;6;0;4872;2272;2600;40;189;269;59;325;2294;475;958;263
201012;3050920;3;5;9;20;2;484;253;231;12;39;65;13;58;224;24;36;13;90;225;50;18;96;33;17;62;33;243;142;101;6;9;21;0;34;152;15;6;0;6200;2969;3231;56;296;362;97;459;2821;557;1122;430
201012;3050923;3;5;9;23;2;788;435;353;21;87;83;23;53;452;27;30;12;117;343;128;35;101;44;36;209;20;436;246;190;3;6;15;14;33;341;12;6;6;7910;4128;3782;87;400;424;128;738;4650;630;642;211
201012;3050924;3;5;9;24;2;557;294;263;9;54;45;6;78;307;38;16;4;116;265;101;39;48;30;27;130;18;345;162;183;3;3;9;6;57;232;25;10;0;5221;2692;2529;85;309;316;80;565;2983;394;390;99
201012;3050925;3;5;9;25;2;716;309;407;9;82;94;38;87;322;39;33;12;115;298;104;15;101;15;15;241;31;384;147;237;0;6;31;23;79;206;21;18;0;8121;3851;4270;97;484;677;158;670;4251;563;975;246
201012;3051017;3;5;10;17;2;510;336;174;6;18;33;15;43;310;49;20;16;20;247;192;9;165;12;3;62;12;207;134;73;0;0;12;9;31;137;15;0;3;4024;2098;1926;32;165;275;85;413;2137;425;404;88
201012;3051021;3;5;10;21;2;376;180;196;9;21;65;12;28;198;18;19;6;43;132;41;37;69;15;6;108;9;240;123;117;3;6;37;12;15;155;9;3;0;6313;2922;3391;52;203;273;97;513;2492;601;1656;426
201012;3051022;3;5;10;22;2;198;83;115;0;36;19;11;24;69;15;18;6;12;73;34;3;48;6;4;52;12;57;21;36;0;3;0;0;12;36;6;0;0;4526;2068;2458;33;246;284;91;367;1891;438;895;281
201012;3061126;3;6;11;26;1;2147;1133;1014;37;167;153;36;240;1388;73;44;9;762;1081;177;57;183;59;118;599;50;1372;737;635;10;15;37;9;196;1063;29;10;3;13450;6918;6532;177;689;644;128;1192;8741;793;797;289
201012;3061131;3;6;11;31;1;1833;944;889;31;155;116;18;189;1246;31;37;10;770;990;116;28;167;18;63;538;29;1267;672;595;3;24;21;12;149;1012;22;18;6;9386;4822;4564;148;592;422;82;694;6564;427;382;75
201012;3061227;3;6;12;27;1;1983;997;986;37;173;152;31;159;1312;62;51;6;735;990;124;46;140;51;72;624;60;1246;612;634;3;30;18;12;119;986;43;32;3;13341;6516;6825;163;681;628;124;1047;8250;853;1202;393
