"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
200812;10010101;10;1;1;1;2;1111;548;563;12;151;140;42;93;500;107;51;15;7;172;150;43;675;16;3;193;9;423;201;222;9;22;40;29;31;256;30;6;0;5469;2736;2733;67;337;361;148;752;2721;559;443;81
200812;10010102;10;1;1;2;2;3199;1592;1607;62;333;396;130;324;1465;231;204;54;51;333;169;65;2103;55;27;577;39;1055;508;547;12;27;81;43;85;725;51;25;6;17031;8594;8437;204;1000;1397;464;2276;8254;1624;1457;355
200812;10010203;10;1;2;3;2;86;54;32;0;7;3;6;21;46;3;0;0;0;0;0;0;24;13;16;27;6;67;42;25;0;0;3;6;18;40;0;0;0;271;209;62;3;7;6;9;55;154;28;9;0
200812;10010204;10;1;2;4;2;1606;787;819;21;151;217;52;124;747;149;110;35;6;204;127;94;1028;33;21;192;34;452;217;235;0;18;65;21;28;281;27;6;6;9974;4973;5001;107;530;749;246;1017;4608;1504;968;245
200812;10010205;10;1;2;5;2;617;322;295;3;42;71;23;69;277;78;39;15;9;137;79;40;347;18;3;50;22;244;154;90;0;0;13;9;12;158;40;12;0;7502;3854;3648;59;332;460;169;1042;3659;987;673;121
200812;10010206;10;1;2;6;2;1765;887;878;31;148;193;70;181;785;147;157;53;30;241;119;43;1123;16;25;292;25;519;275;244;9;24;34;21;43;349;30;3;6;15461;7674;7787;120;591;793;261;1484;6612;2696;2362;542
200812;10010207;10;1;2;7;2;1420;682;738;40;132;170;46;157;671;98;85;21;49;200;70;36;756;54;31;310;33;519;257;262;0;15;47;25;53;348;13;15;3;10442;5121;5321;99;455;620;185;1045;4230;2013;1474;321
200812;10010308;10;1;3;8;2;186;119;67;0;3;16;3;15;111;19;16;3;9;79;46;6;48;0;0;53;0;115;82;33;0;0;6;0;6;83;10;7;3;1658;857;801;3;35;70;35;170;700;261;333;51
200812;10010309;10;1;3;9;2;2178;1053;1125;31;213;292;86;229;927;182;188;30;34;271;102;125;1334;42;90;283;33;835;426;409;0;49;121;47;63;483;42;24;6;14276;6889;7387;103;581;780;258;1322;5314;2607;2714;597
200812;10010310;10;1;3;10;2;1909;897;1012;30;156;246;85;195;856;165;144;32;46;260;85;33;1123;21;30;396;46;633;290;343;6;21;63;25;45;413;38;16;6;17031;8387;8644;131;623;924;317;1549;6726;3600;2732;429
