MH_E;MH_EM;MH_EW;MH_U1;MH_1U6;MH_6U15;MH_15U18;MH_18U25;MH_25U55;MH_55U65;MH_65U80;MH_80U110;E_A;E_AM;E_AW;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110;E_E;E_EM;E_EW;E_U1;E_1U6;E_6U15;E_15U18;E_18U25;E_25U55;E_55U65;E_65U80;E_80U110
143249;75489;67760;2194;10832;16513;5497;15280;72909;11476;7471;1077;92549;49509;43040;502;2247;7268;3069;10651;54638;8065;5436;673;323017;165775;157242;3417;15586;22901;8305;32112;162264;32173;36409;9850
94370;49320;45050;1417;6852;11149;3443;9458;49616;6774;5024;637;59952;31941;28011;218;984;4260;1747;6488;37060;4927;3827;441;260441;133016;127425;2890;12351;17485;5744;26769;148260;19784;21349;5809
43060;22481;20579;694;3383;3921;953;3814;25914;2136;1778;467;26565;14033;12532;100;374;910;417;2933;20033;1176;520;102;354551;174360;180191;3888;16698;21422;7231;29976;189041;30188;44496;11611
100845;50373;50472;1131;5897;9645;3158;7742;52669;11866;7082;1655;58769;29804;28965;177;918;2760;1120;4882;35889;7399;4445;1179;310068;147165;162903;2242;10949;18922;6535;21077;140473;46365;47419;16086
53682;26612;27070;778;4030;7253;2570;4818;24394;5472;3756;611;22287;11228;11059;76;348;1717;725;1916;12691;2761;1806;247;215927;103507;112420;1656;8762;17795;6856;17437;87431;28751;36835;10404
61683;29774;31909;709;4190;7910;2479;5129;29371;6903;4127;865;30781;14706;16075;72;474;1656;675;3127;18143;3801;2248;585;286970;132918;154052;1923;11453;22363;7599;19716;116312;41796;49354;16454
99134;50024;49110;1269;6665;11559;3797;8022;49400;10133;6999;1290;51724;26616;25108;141;687;3297;1345;4242;30920;6132;4143;817;325952;157225;168727;2536;13001;23906;8534;23850;147476;44106;47715;14828
117580;61269;56311;1771;9396;15701;4939;11542;56898;9858;6554;921;68242;36453;31789;341;1793;6015;2315;7014;39221;6534;4434;575;302801;150714;152087;2719;13895;24910;9141;26669;136079;36406;41888;11094
16618;8522;8096;278;1443;1967;599;1266;8114;1234;1414;303;7834;4242;3592;46;174;535;216;772;5266;512;262;51;234975;113772;121203;1811;9053;14273;5699;19959;101710;25295;46449;10726
24954;12223;12731;336;2022;2802;995;2807;11553;2017;1960;462;8966;4557;4409;30;228;689;317;1031;5885;500;235;51;246195;121325;124870;1987;9888;15372;7737;30131;112609;31048;30703;6720
34440;18027;16413;457;2791;3706;1350;4214;17140;2328;1995;459;18914;10392;8522;95;585;1636;704;2569;11789;1025;429;82;250808;122842;127966;2105;10031;13614;6030;28204;112090;30105;39696;8933
52729;26319;26410;826;4264;7552;2543;4361;24104;5329;3198;552;23420;11696;11724;112;507;2038;788;1984;13362;2705;1638;286;242149;116120;126029;1767;9529;19850;7475;18203;95991;34652;42966;11716
