"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd"
158277;82534;75743;2197;11773;17928;5431;17753;81626;11568;8821;1180;95861;50596;45265;489;2666;4642;2272;11967;59700;7450;6069;606;339974;175091;164883;3545;16996;23875;7371;35802;173815;32801;35684;10085;19912;43282;12946;11317;10778;38245;15489;28359;10807
101360;51812;49548;1287;6935;10916;3317;10643;55604;6305;5612;741;60464;31093;29371;198;904;1923;1185;6852;40575;4229;4136;462;269471;137105;132366;3017;13606;17640;5110;23875;158169;21443;20596;6015;20499;29932;5039;4153;4515;29225;7306;18363;7866
50785;25494;25291;790;4437;5470;1155;4386;29712;2392;1964;479;29193;14755;14438;118;697;877;339;3294;21870;1292;620;86;370937;181519;189418;4069;20752;26364;6636;23691;198361;33509;43802;13753;15117;24358;4813;1693;6035;1746;1574;13628;1751
114867;56882;57985;1234;6616;10741;3387;8827;57902;13759;10008;2393;64541;32448;32093;207;1175;2163;956;5568;38539;8211;6100;1622;319289;152611;166678;2381;11713;19236;6516;22739;140674;45066;54761;16203;20130;38242;11645;7516;13378;12069;6864;27368;9430
61916;30871;31045;817;4808;8186;2682;5272;27981;6644;4691;835;25742;12737;13005;153;762;1456;741;2312;14818;2939;2269;292;223305;107761;115544;1857;10038;17598;6425;18218;90178;28638;39147;11206;4583;16958;9544;5156;9797;12289;4383;7519;5814
70139;34075;36064;739;4602;8385;2876;5817;32116;8394;5909;1301;34445;16642;17803;105;615;1188;716;3741;19703;4283;3269;825;295746;138378;157368;2099;12152;22650;7881;20590;117420;40111;55741;17102;11186;24282;9572;4666;6076;6729;3284;18470;6632
103924;51839;52085;1224;7189;12357;4047;8677;49521;11148;8278;1483;50235;25303;24932;168;935;2080;1294;4813;29580;5853;4752;760;328428;158712;169716;2586;13934;23368;8236;25226;144699;43682;52048;14649;12576;29549;12611;8492;9512;22043;7478;15888;10962
130922;67271;63651;1975;10201;16741;5242;12852;64381;10661;7777;1092;70933;36943;33990;439;2079;3787;1936;7411;43508;6118;5089;566;318356;157763;160593;3148;15136;24128;8429;28712;148414;35392;43798;11199;13259;34697;14289;12785;4888;36932;15641;13614;12365
20472;10354;10118;314;1659;2630;741;1703;10089;1448;1481;407;9726;5130;4596;59;239;439;253;1080;6577;662;355;62;243844;118453;125391;2232;10638;15898;4776;16242;108062;27593;44554;13849;2535;8075;2976;1396;3686;1663;787;3766;1099
30828;15123;15705;489;2715;3992;1126;3062;13878;2946;1992;628;11519;5766;5753;105;461;748;324;1465;7333;776;251;56;251879;123933;127946;2385;12394;17838;5173;21004;110390;39916;33913;8866;1287;6462;2657;1075;15850;743;738;5120;840
41855;21253;20602;750;3677;5087;1455;5009;20139;3094;2057;587;22228;11490;10738;239;948;1513;725;3370;13574;1352;450;57;260505;127414;133091;2693;12342;16330;4640;21590;118443;32021;40884;11562;2591;9622;3356;3356;13806;1165;1954;10852;1100
63838;32232;31606;969;5244;8949;2960;5306;29073;6408;4313;616;29058;14742;14316;201;947;1785;942;2832;16942;2943;2202;264;247887;120267;127620;2045;10820;19630;7144;18770;97797;32890;46212;12579;5865;19299;10202;5365;5674;13894;4672;8789;6145
