"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"HK_EU15";"HK_EU28";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
201312;10010101;10;1;1;1;2;1187;568;619;16;88;193;41;93;531;146;63;16;27;248;156;43;655;6;7;207;21;467;212;255;7;30;37;12;40;305;29;7;0;5591;2779;2812;78;338;480;122;452;2744;864;412;101
201312;10010102;10;1;1;2;2;3588;1762;1826;66;362;515;150;270;1525;415;215;70;71;437;238;79;2256;58;28;669;61;1242;553;689;22;77;82;34;94;771;110;46;6;17592;8844;8748;201;1097;1689;513;1366;8017;2645;1627;437
201312;10010203;10;1;2;3;2;346;199;147;15;27;38;3;67;190;3;3;0;3;32;16;67;54;9;32;152;0;296;173;123;6;18;25;3;67;171;3;3;0;661;466;195;21;30;41;3;97;386;67;16;0
201312;10010204;10;1;2;4;2;1885;936;949;23;152;280;98;170;785;214;121;42;9;336;227;105;1077;28;20;260;59;588;307;281;4;24;50;18;77;354;43;9;9;10178;5063;5115;105;619;869;246;660;4198;2021;1129;331
201312;10010205;10;1;2;5;2;882;442;440;16;75;152;24;68;403;76;55;13;27;221;131;13;475;42;22;93;16;348;182;166;0;12;37;12;25;226;24;12;0;8020;4069;3951;88;459;643;127;675;3649;1423;795;161
201312;10010206;10;1;2;6;2;2527;1243;1284;30;220;306;62;260;1178;274;147;50;101;648;184;61;1303;53;55;386;21;1033;538;495;7;40;65;18;125;679;81;12;6;16423;8066;8357;140;751;1020;231;1141;6301;3416;2708;715
201312;10010207;10;1;2;7;2;2052;1001;1051;50;216;234;100;201;886;213;109;43;116;345;105;45;1017;64;46;457;78;802;406;396;12;39;33;30;78;527;70;10;3;10596;5172;5424;102;523;755;236;745;3842;2226;1738;429
201312;10010308;10;1;3;8;2;296;179;117;0;26;16;16;45;150;21;15;7;17;83;26;19;77;6;4;95;12;155;99;56;0;3;0;6;26;99;12;6;3;1766;930;836;15;56;68;38;113;758;286;347;85
201312;10010309;10;1;3;9;2;2627;1272;1355;43;208;399;80;229;1211;225;173;59;59;335;101;115;1620;69;84;330;74;900;432;468;3;22;81;25;95;601;54;19;0;14496;6970;7526;134;576;943;221;918;5407;2533;2956;808
201312;10010310;10;1;3;10;2;2666;1296;1370;52;275;312;100;232;1156;315;197;27;72;404;111;56;1449;61;39;577;80;910;442;468;9;51;63;29;73;565;82;35;3;17505;8605;8900;158;828;1147;331;1046;6407;3676;3385;527
201312;10010311;10;1;3;11;2;375;169;206;0;34;62;22;35;141;49;20;12;9;61;28;3;233;0;12;44;22;79;38;41;0;0;3;0;7;52;10;7;0;2958;1304;1654;24;156;208;44;166;1237;366;441;316
201312;10020412;10;2;4;12;2;1302;621;681;26;167;197;39;121;586;89;68;9;33;231;98;60;670;29;24;261;27;528;242;286;7;52;36;11;66;313;36;7;0;6440;3098;3342;95;577;716;199;629;2989;627;482;126
201312;10020413;10;2;4;13;2;1572;770;802;24;163;168;48;168;743;130;104;24;56;430;196;34;788;41;63;187;29;646;319;327;3;20;33;23;81;441;29;16;0;14829;7158;7671;162;864;919;241;1456;7291;1971;1441;484
201312;10020414;10;2;4;14;2;613;295;318;3;30;118;33;39;323;41;13;13;3;38;32;6;511;13;3;36;6;123;68;55;0;0;3;5;0;106;9;0;0;1677;800;877;12;78;182;58;158;822;153;149;65
201312;10020415;10;2;4;15;2;697;356;341;16;61;86;15;68;352;52;35;12;43;290;136;22;202;19;21;136;7;403;203;200;10;27;31;3;48;253;27;4;0;5285;2626;2659;61;347;496;132;507;2596;601;413;132
201312;10020416;10;2;4;16;2;990;546;444;18;98;108;18;109;505;88;33;13;46;366;190;30;409;21;56;82;26;516;294;222;0;18;29;9;77;339;33;7;4;5282;2723;2559;74;423;427;105;630;2731;509;297;86
201312;10020517;10;2;5;17;2;556;270;286;7;47;58;21;42;266;57;43;15;27;143;71;6;242;21;27;102;15;188;88;100;0;10;9;3;17;122;21;6;0;8810;4194;4616;74;391;466;163;721;4380;1225;1109;281
201312;10020518;10;2;5;18;2;446;233;213;7;48;64;23;35;209;36;24;0;26;145;63;22;184;10;9;57;19;183;106;77;4;12;17;0;16;113;21;0;0;4979;2472;2507;55;329;477;154;481;2526;475;360;122
201312;10020519;10;2;5;19;2;874;458;416;19;81;118;27;139;400;50;28;12;37;260;120;111;282;24;61;133;3;570;313;257;10;50;70;18;98;296;19;6;3;5357;2744;2613;91;423;536;117;631;2513;553;382;111
201312;10020620;10;2;6;20;2;459;220;239;6;42;43;16;34;209;54;43;12;21;78;35;15;235;17;12;96;6;187;88;99;3;9;12;3;16;126;18;0;0;3318;1639;1679;36;162;136;46;326;1732;511;305;64
