"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
152377;79492;72885;2301;11663;17707;5284;17176;77573;11300;8312;1061;17647;39469;12616;11265;10413;38573;15083;26953;10621;91562;48367;43195;515;2502;4905;2384;11442;56264;7293;5725;532;333152;171255;161897;3624;16702;23776;7227;35573;168404;32246;35605;9995
96880;49632;47248;1283;7044;10877;3248;10234;52049;6178;5319;648;18004;26739;4874;4212;4308;29466;7358;17191;7606;57433;29634;27799;185;904;2343;1193;6565;37749;4175;3925;394;265361;135144;130217;2993;13547;17492;4955;24617;154620;20710;20545;5882
46003;23075;22928;768;4222;4951;1060;3851;26618;2185;1880;468;13083;21575;4433;1478;5759;1643;1420;12451;1677;25710;12987;12723;133;592;706;328;2839;19338;1152;550;72;365021;178501;186520;4096;20115;25348;6140;25035;194376;32484;43973;13454
109814;54108;55706;1140;6454;10427;3252;8256;55465;13446;9169;2205;18672;35531;11105;7341;12807;12058;6440;26336;9301;61302;30549;30753;171;1102;2177;957;5142;36591;8050;5604;1508;314911;149848;165063;2231;11478;19136;6276;22207;139000;45233;53190;16160
58991;29411;29580;757;4572;7929;2624;5072;26420;6531;4317;769;4311;15570;8902;4869;9587;12200;4175;7009;5581;23914;11871;12043;125;578;1408;712;2128;13696;2930;2072;265;220645;106414;114231;1821;9682;17593;6371;18232;88624;28596;38561;11165
67698;32870;34828;694;4529;8242;2806;5355;31322;8158;5399;1193;10692;23267;9299;4524;5775;6647;3147;17764;6574;33059;15969;17090;97;547;1246;699;3360;19143;4224;2983;760;293692;137112;156580;2070;12001;22699;7728;20205;117097;40203;54637;17052
104393;52248;52145;1216;7273;12215;3883;8577;50135;11456;8069;1569;12836;29781;12768;8516;9462;22339;7394;16057;10844;51734;26164;25570;160;864;2269;1277;4697;30481;6357;4748;881;329361;159224;170137;2611;13828;23546;8088;25322;145784;43922;51390;14870
125869;64809;61060;1878;10208;16412;5134;12488;61183;10344;7263;959;11509;31496;14054;12729;4833;37092;15279;12757;11683;68109;35610;32499;424;2003;4127;2006;7271;41005;6028;4760;485;313245;155312;157933;3061;14873;24164;8396;28958;144164;35121;43402;11106
18764;9478;9286;268;1601;2487;661;1509;9075;1309;1481;373;2122;7129;2798;1254;3561;1574;734;3465;1047;8527;4446;4081;23;195;442;228;888;5786;607;309;49;241487;117152;124335;2113;10300;15601;4587;17305;106166;26934;45179;13302
28939;14150;14789;474;2620;3665;1037;3060;12933;2649;1931;570;1160;5643;2306;956;15273;702;695;4884;786;10398;5150;5248;93;389;703;319;1446;6536;647;214;51;249232;122695;126537;2281;11909;17209;4995;23315;109779;38243;33043;8458
38543;19519;19024;621;3451;4685;1379;4615;18432;2752;2037;571;2063;8231;3044;2925;13419;1072;1862;10056;978;19719;10190;9529;155;759;1433;695;2978;12119;1145;387;48;256280;125240;131040;2415;11912;15708;4387;23163;115558;31323;40668;11146
59917;30196;29721;830;5033;8476;2819;4959;27114;6206;3886;594;5523;17860;9760;4959;5426;13376;4349;8051;5896;26745;13580;13165;149;830;1748;916;2578;15448;2848;1987;241;244727;118537;126190;1886;10481;19473;6987;18680;96214;32823;45707;12476
