"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E.x";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"MH_E.y";"HK_EU15";"HK_EU28";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_EU1";"E_E1U6";"E_E6U15";"E_E15U18";"E_E18U25";"E_E25U55";"E_E55U65";"E_E65U80";"E_E80U110"
201412;8020621;8;2;6;21;2;531;259;272;12;49;78;23;43;241;54;28;3;531;68;144;53;33;6;181;19;58;90;175;86;89;3;0;4;3;19;104;17;22;3;2318;1153;1165;12;102;180;68;199;881;400;406;70
201412;8020622;8;2;6;22;2;3394;1670;1724;61;291;353;121;286;1605;350;285;42;3394;297;1221;652;155;259;691;326;425;317;1591;763;828;6;45;46;38;172;895;168;197;24;14195;6593;7602;114;616;905;326;1019;5811;2041;2459;904
201412;8020623;8;2;6;23;2;311;143;168;3;9;57;12;34;125;50;18;3;311;27;114;50;0;17;65;61;36;18;152;64;88;3;0;15;3;15;80;21;12;3;1264;583;681;9;21;93;30;80;471;181;246;133
201412;8020624;8;2;6;24;2;292;156;136;3;19;40;9;17;137;28;33;6;292;16;97;47;18;12;76;9;40;40;127;69;58;0;0;4;3;6;69;15;27;3;1142;584;558;9;65;91;27;72;508;153;174;43
201412;8020625;8;2;6;25;2;844;446;398;6;52;111;21;79;439;74;52;10;844;118;312;128;50;16;191;78;117;80;432;229;203;0;4;18;6;43;259;52;40;10;3331;1703;1628;13;101;239;87;286;1284;420;710;191
201412;8020726;8;2;7;26;2;1724;838;886;25;129;168;82;96;872;216;114;22;1724;140;609;354;104;103;469;70;169;200;705;336;369;9;9;7;15;40;423;94;92;16;8291;3957;4334;46;305;516;237;567;3302;1179;1680;459
201412;8020727;8;2;7;27;2;2513;1268;1245;31;206;405;124;176;1123;254;172;22;2513;184;722;412;250;169;641;256;169;306;952;473;479;6;18;46;24;74;578;95;98;13;11436;5389;6047;76;453;785;324;878;4096;1504;2668;652
201412;8020728;8;2;7;28;2;2757;1383;1374;48;257;408;115;254;1262;216;151;46;2757;200;768;404;269;314;632;255;251;268;1294;652;642;9;32;73;34;162;789;87;80;28;8286;4104;4182;66;409;671;254;706;3147;1036;1564;433
201412;8030829;8;3;8;29;2;5612;2764;2848;88;489;842;252;419;2421;637;357;107;5612;226;1298;872;306;599;1697;674;395;643;2240;1118;1122;18;56;126;64;171;1301;260;199;45;12327;5706;6621;119;606;1050;341;845;4288;1496;2752;830
201412;8030830;8;3;8;30;2;2562;1272;1290;36;199;320;76;163;1175;323;215;55;2562;103;748;503;142;220;784;150;229;289;995;488;507;0;12;21;12;68;610;131;123;18;7272;3346;3926;42;261;416;113;368;2467;946;2067;592
