"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110";"HK_EU15";"HK_EU28";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd"
166105;86906;79199;2292;11993;18409;5707;18488;86539;11975;9376;1326;101204;53712;47492;534;2892;4530;2274;12592;63544;7691;6443;704;348102;179581;168521;3591;17295;24347;7649;36066;179417;33506;35970;10261;22260;49101;13414;9888;11398;37876;16683;29924;11235
105818;54160;51658;1282;6867;11050;3478;10790;59166;6532;5803;850;63644;32866;30778;234;973;1650;1153;7033;43403;4398;4233;567;273517;139357;134160;2974;13722;17955;5307;22825;161546;22275;20701;6212;22867;33825;5247;3264;4687;28932;7613;19497;8000
55995;28088;27907;887;4641;6045;1336;4705;33161;2651;2071;498;33056;16807;16249;171;805;1003;400;3574;24778;1498;731;96;377532;184833;192699;4151;21038;27854;7005;22598;202348;34643;43819;14076;17111;27425;5075;1513;6537;1847;1817;15019;1837
119786;59426;60360;1204;6793;11180;3547;9250;60263;14111;10891;2547;68082;34384;33698;219;1307;2304;1022;5912;40448;8498;6634;1738;322870;154718;168152;2243;11895;19536;6764;22783;142020;44919;56434;16276;21069;42178;12047;5930;13880;11992;8038;28298;9470
66030;33010;33020;844;5052;8746;2829;5575;30121;6941;5026;896;28761;14368;14393;185;984;1656;779;2728;16611;3054;2422;342;226868;109713;117155;1791;10393;17953;6448;18305;92176;29039;39411;11352;4818;19694;10240;4622;9954;12530;4929;8347;5954
72832;35408;37424;778;4713;8629;2910;5995;33227;8712;6437;1431;36076;17418;18658;133;690;1250;638;3895;20601;4407;3545;917;298200;139783;158417;2159;12244;22827;8005;20471;118178;39931;57178;17207;11757;27022;9970;3465;6233;6828;3545;19074;6665
107667;53868;53799;1283;7236;12649;4246;8754;51818;11340;8771;1570;52711;26720;25991;209;1018;2022;1354;4990;31366;5890;5038;824;331822;160790;171032;2704;14038;23518;8399;24893;146802;43770;53064;14634;13773;33962;12898;6295;9690;22102;8075;16407;11136
135558;69656;65902;1966;10321;16925;5379;12801;67779;10888;8263;1236;73589;38267;35322;446;2170;3426;1860;7356;46091;6208;5368;664;322153;159908;162245;3161;15426;24074;8397;27706;152420;35401;44159;11409;15041;39237;14516;10990;5014;36803;16205;14500;12809
22282;11314;10968;322;1813;2847;797;1912;11068;1595;1508;420;11065;5846;5219;75;339;526;265;1253;7401;757;382;67;245951;119482;126469;2175;11008;16249;4978;15226;109601;28433;43890;14391;2864;9148;3306;1480;3731;1711;964;4093;1155
33166;16424;16742;514;2877;4325;1179;3271;15059;3208;2088;645;13198;6699;6499;113;574;826;337;1717;8363;916;296;56;254226;125229;128997;2355;12756;18522;5412;18728;111152;41312;34769;9220;1474;7578;3073;1119;16321;805;865;5596;882
45793;23448;22345;753;4041;5481;1471;5590;22221;3481;2134;621;25113;13187;11926;226;1155;1630;699;3886;15362;1572;510;73;264858;129987;134871;2531;12950;17076;4748;20294;121410;32919;40912;12018;3118;11730;4063;3436;14097;1226;2199;11842;1263
68316;34492;33824;952;5645;9537;3108;5797;31188;6732;4719;638;32230;16385;15845;222;1203;2039;978;3314;18689;3098;2404;283;251325;122084;129241;2001;11334;20038;7212;18922;99506;32836;46833;12643;6369;22011;10719;4706;6106;14442;5090;9559;6402
